pass,pass_name,row_id,kind,phase,step_i,item_key,start_x,start_y,start_z,start_rx,start_ry,start_rz,send_x,send_y,send_z,send_rx,send_ry,send_rz,target_x,target_y,target_z,target_rx,target_ry,target_rz,meas_x,meas_y,meas_z,meas_rx,meas_ry,meas_rz,ex,ey,ez,err_xyz,erx,ery,erz,err_r
0,baseline,33,pick,go_down,4,bread_w,237.0,77.3,165.6,174.95,-2.39,-89.66,240.0,75.0,130.0,-180.0,0.0,-90.0,240.0,75.0,130.0,-180.0,0.0,-90.0,235.7,76.5,118.9,175.69,-1.92,-89.69,-4.300000000000011,1.5,-11.099999999999994,11.997916485790356,-4.309999999999945,-1.9199999999999875,0.3100000000000023,4.728488130470403
0,baseline,34,pick,go_up,4,bread_w,235.7,76.5,118.9,175.69,-1.92,-89.69,240.0,75.0,180.0,-180.0,0.0,-90.0,240.0,75.0,180.0,-180.0,0.0,-90.0,238.4,78.2,162.0,174.88,-2.43,-89.57,-1.5999999999999943,3.200000000000003,-18.0,18.35211159512714,-5.1200000000000045,-2.430000000000007,0.4300000000000068,5.683678386397324
0,baseline,35,base,untwist_angle,4,bread_w,238.4,78.2,162.0,174.88,-2.43,-89.57,-1.1,-142.3,166.6,171.15999999999997,-1.6599999999999966,-179.69,-1.1,-142.3,166.6,171.15999999999997,-1.6599999999999966,-179.69,0.0,-140.6,159.7,167.92,-3.87,-178.45,1.1,1.700000000000017,-6.900000000000006,7.190966555338728,-3.2399999999999807,-2.210000000000008,1.240000000000009,4.113307671448847
0,baseline,36,place,go_top,4,bread_w,0.0,-140.6,159.7,167.92,-3.87,-178.45,0.0,-150.0,220.0,-180.0,0.0,-180.0,0.0,-150.0,220.0,-180.0,0.0,-180.0,3.3,-149.4,212.5,176.56,-0.75,-178.77,3.3,0.5999999999999943,-7.5,8.215838362577491,-3.4400000000000546,-0.75,1.2299999999999898,3.729477175154763
0,baseline,37,place,go_down,4,bread_w,3.3,-149.4,212.5,176.56,-0.75,-178.77,0.0,-150.0,180.0,-180.0,0.0,-180.0,0.0,-150.0,180.0,-180.0,0.0,-180.0,2.7,-148.0,171.2,175.53,-1.23,-178.66,2.7,2.0,-8.800000000000011,9.419660291114548,-4.470000000000027,-1.2299999999999898,1.3400000000000034,4.825909240754557
0,baseline,38,place,go_up,4,bread_w,2.7,-148.0,171.2,175.53,-1.23,-178.66,0.0,-150.0,220.0,-180.0,0.0,-180.0,0.0,-150.0,220.0,-180.0,0.0,-180.0,3.3,-149.3,212.0,176.4,-0.82,-178.68,3.3,0.6999999999999886,-8.0,8.682165628459295,-3.6000000000000227,-0.8199999999999932,1.3199999999999932,3.921071282188088
0,baseline,39,base,go_base,4,bread_w,3.3,-149.3,212.0,176.4,-0.82,-178.68,120.0,10.0,250.0,-180.0,0.0,-90.0,120.0,10.0,250.0,-180.0,0.0,-90.0,121.2,9.8,242.8,176.54,-1.68,-90.06,1.2000000000000028,-0.1999999999999993,-7.199999999999989,7.302054505411462,-3.4600000000000364,-1.6800000000000068,-0.0600000000000022,3.8467648745407192
0,baseline,40,pick,go_top,5,bread_o,121.2,9.8,242.8,176.54,-1.68,-90.06,240.0,125.0,180.0,-180.0,0.0,-90.0,240.0,125.0,180.0,-180.0,0.0,-90.0,235.1,115.7,165.9,175.53,-2.89,-90.09,-4.900000000000006,-9.299999999999995,-14.099999999999994,17.587211262732925,-4.470000000000027,-2.8899999999999864,-0.0900000000000034,5.32363597553403
0,baseline,41,pick,go_down,5,bread_o,235.1,115.7,165.9,175.53,-2.89,-90.09,240.0,125.0,130.0,-180.0,0.0,-90.0,240.0,125.0,130.0,-180.0,0.0,-90.0,240.9,120.6,119.8,176.8,-1.8,-90.14,0.9000000000000057,-4.400000000000006,-10.200000000000005,11.144954015158614,-3.200000000000045,-1.8000000000000114,-0.1399999999999863,3.6741801806662022
0,baseline,42,pick,go_up,5,bread_o,240.9,120.6,119.8,176.8,-1.8,-90.14,240.0,125.0,180.0,-180.0,0.0,-90.0,240.0,125.0,180.0,-180.0,0.0,-90.0,235.8,116.3,162.3,175.12,-3.23,-90.07,-4.199999999999989,-8.700000000000003,-17.69999999999999,20.16482085216726,-4.879999999999996,-3.2299999999999898,-0.0699999999999931,5.852537911026283
0,baseline,43,base,untwist_angle,5,bread_o,235.8,116.3,162.3,175.12,-3.23,-90.07,-1.1,-142.3,166.8,171.23000000000002,-1.6200000000000043,-179.69,-1.1,-142.3,166.8,171.23000000000002,-1.6200000000000043,-179.69,0.0,-140.4,159.5,167.74,-3.89,-178.18,1.1,1.9000000000000057,-7.300000000000011,7.622991538759583,-3.490000000000009,-2.269999999999982,1.509999999999991,4.428667971297911
0,baseline,44,place,go_top,5,bread_o,0.0,-140.4,159.5,167.74,-3.89,-178.18,0.0,-150.0,225.0,-180.0,0.0,-180.0,0.0,-150.0,225.0,-180.0,0.0,-180.0,3.7,-149.5,217.3,176.52,-0.66,-178.42,3.7,0.5,-7.699999999999989,8.557452892070152,-3.480000000000018,-0.6599999999999966,1.5800000000000125,3.878453299963809
0,baseline,45,place,go_down,5,bread_o,3.7,-149.5,217.3,176.52,-0.66,-178.42,0.0,-150.0,185.0,-180.0,0.0,-180.0,0.0,-150.0,185.0,-180.0,0.0,-180.0,3.1,-148.4,176.1,175.44,-1.26,-178.39,3.1,1.5999999999999943,-8.900000000000006,9.559288676465425,-4.559999999999945,-1.259999999999991,1.6100000000000136,4.997329286729015
0,baseline,46,place,go_up,5,bread_o,3.1,-148.4,176.1,175.44,-1.26,-178.39,0.0,-150.0,225.0,-180.0,0.0,-180.0,0.0,-150.0,225.0,-180.0,0.0,-180.0,3.4,-149.5,217.2,176.48,-0.77,-178.5,3.4,0.5,-7.800000000000011,8.523496934944024,-3.519999999999982,-0.7700000000000102,1.5,3.902986036357277
0,baseline,47,base,pick_base,0,ham,121.8,7.6,245.2,178.84,-3.03,-89.92,20.0,150.0,300.0,-145.0,0.0,0.0,20.0,150.0,300.0,-145.0,0.0,0.0,20.0,152.8,288.4,-150.28,-0.56,-0.91,0.0,2.800000000000012,-11.600000000000025,11.933147112141064,-5.280000000000001,-0.5600000000000023,-0.9099999999999966,5.387030722021177
0,baseline,48,pick,go_top,0,ham,20.0,152.8,288.4,-150.28,-0.56,-0.91,105.0,180.0,280.0,-145.0,0.0,0.0,105.0,180.0,280.0,-145.0,0.0,0.0,104.8,184.8,265.8,-150.84,1.07,-0.92,-0.2000000000000028,4.800000000000011,-14.199999999999989,14.9906637611548,-5.840000000000003,1.0699999999999932,-0.9199999999999876,6.008069573498629
0,baseline,49,pick,go_down,0,ham,104.8,184.8,265.8,-150.84,1.07,-0.92,105.0,180.0,160.0,-145.0,0.0,0.0,105.0,180.0,160.0,-145.0,0.0,0.0,103.6,180.0,148.7,-150.3,0.95,-0.72,-1.4000000000000057,0.0,-11.300000000000011,11.386395390991842,-5.300000000000011,0.9499999999999886,-0.7199999999999989,5.4323935792613645
0,baseline,50,pick,go_up,0,ham,103.6,180.0,148.7,-150.3,0.95,-0.72,105.0,180.0,280.0,-145.0,0.0,0.0,105.0,180.0,280.0,-145.0,0.0,0.0,105.4,187.5,263.8,-150.56,1.01,-0.72,0.4000000000000057,7.5,-16.19999999999999,17.856371411907844,-5.560000000000002,1.009999999999991,-0.7199999999999989,5.696674468494755
0,baseline,51,base,pick_base,0,ham,105.4,187.5,263.8,-150.56,1.01,-0.72,20.0,150.0,300.0,-145.0,0.0,0.0,20.0,150.0,300.0,-145.0,0.0,0.0,19.6,153.4,292.5,-148.55,-0.43,0.36,-0.3999999999999986,3.4000000000000057,-7.5,8.244392033376387,-3.550000000000012,-0.4300000000000068,0.3600000000000136,3.594022815731712
0,baseline,52,base,place_base,0,ham,19.6,153.4,292.5,-148.55,-0.43,0.36,125.0,-20.0,200.0,-145.0,0.0,-90.0,125.0,-20.0,200.0,-145.0,0.0,-90.0,125.3,-16.6,191.2,-149.46,-1.36,-87.79,0.2999999999999971,3.3999999999999986,-8.800000000000011,9.438749917229517,-4.460000000000008,-1.3600000000000136,2.2099999999999795,5.159970930150674
0,baseline,53,place,go_top,0,ham,125.3,-16.6,191.2,-149.46,-1.36,-87.79,181.0,-125.0,180.0,-145.0,0.0,-90.0,181.0,-125.0,180.0,-145.0,0.0,-90.0,181.8,-122.6,165.9,-150.67,1.63,-90.42,0.8000000000000114,2.4000000000000057,-14.099999999999994,14.325152704247165,-5.669999999999988,1.6299999999999957,-0.4200000000000159,5.9145752172070525
0,baseline,54,place,go_down,0,ham,181.8,-122.6,165.9,-150.67,1.63,-90.42,181.0,-125.0,140.0,-145.0,0.0,-90.0,181.0,-125.0,140.0,-145.0,0.0,-90.0,181.6,-122.5,130.0,-149.75,1.32,-90.4,0.5999999999999943,2.5,-10.0,10.325211862233145,-4.75,1.3199999999999932,-0.4000000000000057,4.946200562047599
0,baseline,55,place,go_up,0,ham,181.6,-122.5,130.0,-149.75,1.32,-90.4,181.0,-125.0,180.0,-145.0,0.0,-90.0,181.0,-125.0,180.0,-145.0,0.0,-90.0,182.5,-122.8,165.7,-149.92,1.37,-90.4,1.5,2.200000000000003,-14.300000000000011,14.545789768864402,-4.919999999999988,1.3700000000000043,-0.4000000000000057,5.122821488203536
0,baseline,56,base,pick_base,0,ham,182.5,-122.8,165.7,-149.92,1.37,-90.4,20.0,150.0,300.0,-145.0,0.0,0.0,20.0,150.0,300.0,-145.0,0.0,0.0,19.5,153.6,290.6,-149.21,-0.72,0.45,-0.5,3.5999999999999943,-9.399999999999975,10.07819428270757,-4.210000000000008,-0.7199999999999989,0.4499999999999886,4.294764254298489
0,baseline,57,base,pick_base,1,lettuce,19.5,153.6,290.6,-149.21,-0.72,0.45,20.0,150.0,300.0,-145.0,0.0,0.0,20.0,150.0,300.0,-145.0,0.0,0.0,19.5,153.6,290.6,-149.21,-0.68,0.37,-0.5,3.5999999999999943,-9.399999999999975,10.07819428270757,-4.210000000000008,-0.6800000000000068,0.3700000000000045,4.280584072296686
0,baseline,58,pick,go_top,1,lettuce,19.5,153.6,290.6,-149.21,-0.68,0.37,70.0,180.0,280.0,-145.0,0.0,0.0,70.0,180.0,280.0,-145.0,0.0,0.0,68.1,184.2,267.4,-150.37,0.11,-0.35,-1.9000000000000057,4.199999999999989,-12.600000000000025,13.416780537819069,-5.3700000000000045,0.1100000000000136,-0.3499999999999943,5.38251799811204
0,baseline,59,pick,go_down,1,lettuce,68.1,184.2,267.4,-150.37,0.11,-0.35,70.0,180.0,160.0,-145.0,0.0,0.0,70.0,180.0,160.0,-145.0,0.0,0.0,67.5,180.2,150.1,-149.91,0.85,0.19,-2.5,0.1999999999999886,-9.900000000000006,10.212737145349434,-4.909999999999997,0.8499999999999943,0.1899999999999977,4.986652183579676
0,baseline,60,pick,go_up,1,lettuce,67.5,180.2,150.1,-149.91,0.85,0.19,70.0,180.0,280.0,-145.0,0.0,0.0,70.0,180.0,280.0,-145.0,0.0,0.0,67.6,186.4,265.2,-150.35,0.9,0.1,-2.4000000000000057,6.400000000000006,-14.800000000000011,16.30214709785188,-5.349999999999994,0.9000000000000057,0.0999999999999943,5.426094359666071
0,baseline,61,base,pick_base,1,lettuce,67.6,186.4,265.2,-150.35,0.9,0.1,20.0,150.0,300.0,-145.0,0.0,0.0,20.0,150.0,300.0,-145.0,0.0,0.0,18.9,154.5,289.6,-149.54,-0.85,0.54,-1.1000000000000014,4.5,-10.399999999999975,11.385077953180623,-4.539999999999992,-0.8499999999999943,0.539999999999992,4.650344073291772
0,baseline,62,base,place_base,1,lettuce,18.9,154.5,289.6,-149.54,-0.85,0.54,125.0,-20.0,200.0,-145.0,0.0,-90.0,125.0,-20.0,200.0,-145.0,0.0,-90.0,125.2,-16.8,191.7,-149.3,-1.28,-87.88,0.2000000000000028,3.1999999999999997,-8.300000000000011,8.897752525216701,-4.300000000000011,-1.2800000000000011,2.1200000000000045,4.962136636570997
0,baseline,63,place,go_top,1,lettuce,125.2,-16.8,191.7,-149.3,-1.28,-87.88,181.0,-75.0,180.0,-145.0,0.0,-90.0,181.0,-75.0,180.0,-145.0,0.0,-90.0,181.3,-71.3,166.4,-151.2,0.59,-89.7,0.3000000000000113,3.700000000000003,-13.599999999999994,14.097517511959326,-6.199999999999989,0.5900000000000034,0.3000000000000113,6.235230549065516
0,baseline,64,place,go_down,1,lettuce,181.3,-71.3,166.4,-151.2,0.59,-89.7,181.0,-75.0,140.0,-145.0,0.0,-90.0,181.0,-75.0,140.0,-145.0,0.0,-90.0,181.6,-71.4,131.4,-149.44,0.46,-89.61,0.5999999999999943,3.5999999999999943,-8.599999999999994,9.342376571301322,-4.439999999999998,0.4600000000000079,0.3899999999999863,4.480770023109865
0,baseline,65,place,go_up,1,lettuce,181.6,-71.4,131.4,-149.44,0.46,-89.61,181.0,-75.0,180.0,-145.0,0.0,-90.0,181.0,-75.0,180.0,-145.0,0.0,-90.0,182.1,-71.4,166.3,-150.15,0.49,-89.61,1.0999999999999943,3.5999999999999943,-13.699999999999989,14.207744367069658,-5.150000000000006,0.4900000000000091,0.3899999999999863,5.187937933321876
0,baseline,66,base,pick_base,1,lettuce,182.1,-71.4,166.3,-150.15,0.49,-89.61,20.0,150.0,300.0,-145.0,0.0,0.0,20.0,150.0,300.0,-145.0,0.0,0.0,19.3,154.1,290.3,-149.29,-0.75,0.45,-0.6999999999999993,4.099999999999994,-9.699999999999989,10.554146104730584,-4.289999999999992,-0.75,0.4499999999999886,4.378253076285098
0,baseline,67,base,pick_base,2,cheese,19.3,154.1,290.3,-149.29,-0.75,0.45,20.0,150.0,300.0,-145.0,0.0,0.0,20.0,150.0,300.0,-145.0,0.0,0.0,19.3,154.1,290.3,-149.29,-0.75,0.45,-0.6999999999999993,4.099999999999994,-9.699999999999989,10.554146104730584,-4.289999999999992,-0.75,0.4499999999999886,4.378253076285098
